Region:Middle East North Africa

year,income_per_person
1960,5210
1961,5141
1962,6028
1963,6128
1964,5971
1965,5842
1966,5982
1967,9683
1968,17107
1969,20895
1970,20964
1971,20488
1972,21669
1973,18041
1974,19467
1975,23431
1976,25219
1977,24059
1978,22368
1979,22118
1980,22247
1981,24688
1982,26173
1983,29122
1984,32519
1985,35580
1986,34985
1987,36415
1988,36152
1989,36316
1990,35042
1991,35569
1992,36821
1993,37372
1994,37442
1995,38317
1996,38912
1997,41020
1998,42064
1999,41955
2000,43966
2001,45397
2002,44130
2003,42029
2004,41539
2005,41459
2006,42509
2007,43125
2008,45070
2009,45743
2010,45336
