Region:South Asia

year,income_per_person
1960,1267
1961,1308
1962,1366
1963,1413
1964,1480
1965,1504
1966,1583
1967,1598
1968,1664
1969,1724
1970,1852
1971,1811
1972,1775
1973,1852
1974,1868
1975,1897
1976,1950
1977,1983
1978,2091
1979,2105
1980,2246
1981,2335
1982,2427
1983,2516
1984,2551
1985,2700
1986,2785
1987,2857
1988,2950
1989,3003
1990,3056
1991,3120
1992,3268
1993,3235
1994,3265
1995,3332
1996,3396
1997,3333
1998,3322
1999,3350
2000,3401
2001,3382
2002,3408
2003,3490
2004,3662
2005,3853
2006,3999
2007,4097
2008,4074
2009,4097
2010,4072
