Region:East Asia Pacific

year,income_per_person
1960,16017
1961,16888
1962,17805
1963,18772
1964,19791
1965,20866
1966,21998
1967,23191
1968,24449
1969,25774
1970,27171
1971,26141
1972,28721
1973,34216
1974,48913
1975,51027
1976,37122
1977,35304
1978,35583
1979,32081
1980,17195
1981,15145
1982,15305
1983,14737
1984,14677
1985,12990
1986,12643
1987,12253
1988,14552
1989,14842
1990,15510
1991,14568
1992,13275
1993,11323
1994,11814
1995,12763
1996,13741
1997,13722
1998,13694
1999,12711
2000,12350
2001,12980
2002,13321
2003,12778
2004,13359
2005,14019
2006,13880
2007,14288
2008,13851
2009,13328
2010,13630
