Region:Middle East North Africa

year,income_per_person
1960,1266
1961,1284
1962,1331
1963,1379
1964,1432
1965,1492
1966,1602
1967,1560
1968,1436
1969,1513
1970,1624
1971,1794
1972,2032
1973,1884
1974,2206
1975,2157
1976,2420
1977,2323
1978,2538
1979,2425
1980,2704
1981,2471
1982,2601
1983,2408
1984,2435
1985,2329
1986,2675
1987,2498
1988,2358
1989,2315
1990,2631
1991,2393
1992,2813
1993,2954
1994,3236
1995,3315
1996,3208
1997,3518
1998,3920
1999,4138
2000,3688
2001,3261
2002,2781
2003,3091
2004,3325
2005,3591
2006,3364
2007,3495
2008,3607
2009,3816
2010,4019
