Region:America

year,income_per_person
1960,3408
1961,3674
1962,3875
1963,4125
1964,4186
1965,4428
1966,4627
1967,4877
1968,5090
1969,5338
1970,5512
1971,5885
1972,6001
1973,6169
1974,6152
1975,6109
1976,6070
1977,5978
1978,6457
1979,6606
1980,7457
1981,7974
1982,8127
1983,7855
1984,7873
1985,8116
1986,8318
1987,8411
1988,7421
1989,7401
1990,7855
1991,8417
1992,8921
1993,9216
1994,9286
1995,9257
1996,9440
1997,9846
1998,10357
1999,10550
2000,10625
2001,10481
2002,10512
2003,10750
2004,11345
2005,11938
2006,12736
2007,14007
2008,15114
2009,15032
2010,15631
