Region:East Asia Pacific

year,income_per_person
1960,1093
1961,1156
1962,1224
1963,1267
1964,1368
1965,1499
1966,1573
1967,1624
1968,1679
1969,1802
1970,1977
1971,2079
1972,2173
1973,2289
1974,2322
1975,2277
1976,2179
1977,2176
1978,2338
1979,2356
1980,2274
1981,2237
1982,2213
1983,2249
1984,2208
1985,2261
1986,2331
1987,2361
1988,2392
1989,2323
1990,2218
1991,2373
1992,2640
1993,3049
1994,3156
1995,2980
1996,3134
1997,2938
1998,2759
1999,2744
2000,2616
2001,2557
2002,2501
2003,2504
2004,2519
2005,2621
2006,2620
2007,2841
2008,2765
2009,2883
2010,3103
