Region:America

year,income_per_person
1960,2511
1961,2599
1962,2750
1963,2790
1964,2875
1965,3002
1966,2995
1967,3142
1968,3209
1969,3287
1970,3442
1971,3586
1972,3769
1973,3981
1974,4244
1975,4480
1976,4750
1977,5220
1978,5758
1979,6348
1980,6995
1981,7500
1982,7311
1983,6971
1984,7058
1985,7205
1986,7073
1987,7242
1988,7557
1989,7844
1990,7933
1991,8000
1992,7933
1993,8123
1994,8352
1995,8715
1996,8652
1997,8819
1998,8636
1999,8341
2000,7984
2001,7764
2002,7617
2003,7804
2004,7982
2005,8021
2006,8280
2007,8605
2008,9028
2009,8884
2010,9741
