Region:America

year,income_per_person
1960,5004
1961,5301
1962,5542
1963,5640
1964,5868
1965,6094
1966,6431
1967,6511
1968,6271
1969,6263
1970,6574
1971,6687
1972,6719
1973,6886
1974,7059
1975,7423
1976,7336
1977,7150
1978,6972
1979,7208
1980,7358
1981,7504
1982,7348
1983,6225
1984,6375
1985,6365
1986,6859
1987,7295
1988,6563
1989,5646
1990,5254
1991,5263
1992,5133
1993,5300
1994,5842
1995,6160
1996,6216
1997,6498
1998,6360
1999,6351
2000,6428
2001,6386
2002,6659
2003,6868
2004,7143
2005,7526
2006,8024
2007,8637
2008,9349
2009,9376
2010,10075
