Region:East Asia Pacific

year,income_per_person
1960,2765
1961,2831
1962,2874
1963,2982
1964,2988
1965,3046
1966,3083
1967,3148
1968,3204
1969,3254
1970,3278
1971,3355
1972,3437
1973,3638
1974,3663
1975,3762
1976,3978
1977,4084
1978,4173
1979,4283
1980,4376
1981,4411
1982,4452
1983,4423
1984,3996
1985,3608
1986,3635
1987,3697
1988,3852
1989,3993
1990,4014
1991,3892
1992,3811
1993,3800
1994,3874
1995,3963
1996,4099
1997,4216
1998,4099
1999,4134
2000,4224
2001,4255
2002,4318
2003,4441
2004,4645
2005,4776
2006,4937
2007,5175
2008,5301
2009,5274
2010,5583
