Region:Europe Central Asia

year,income_per_person
1960,6253
1961,6672
1962,6512
1963,6836
1964,7076
1965,7407
1966,7815
1967,8043
1968,8472
1969,8332
1970,8708
1971,9267
1972,9874
1973,10535
1974,11062
1975,11484
1976,11671
1977,11790
1978,12123
1979,11802
1980,11412
1981,10718
1982,10537
1983,10966
1984,11282
1985,11315
1986,11599
1987,11384
1988,11609
1989,11410
1990,10277
1991,9522
1992,9731
1993,10070
1994,10580
1995,11300
1996,11976
1997,12741
1998,13324
1999,13944
2000,14733
2001,14920
2002,15232
2003,15785
2004,16606
2005,17194
2006,18268
2007,19563
2008,20392
2009,20953
2010,21771
