Region:Europe Central Asia

year,income_per_person
1960,5115
1961,5412
1962,5792
1963,6110
1964,6501
1965,6997
1966,7316
1967,7892
1968,8605
1969,8827
1970,9712
1971,10444
1972,11334
1973,12627
1974,12631
1975,11709
1976,12273
1977,12937
1978,13284
1979,14030
1980,14629
1981,14793
1982,15131
1983,15121
1984,14853
1985,15288
1986,15943
1987,16987
1988,18294
1989,19274
1990,20167
1991,21096
1992,21343
1993,20881
1994,21026
1995,21851
1996,22530
1997,23422
1998,24421
1999,25227
2000,25999
2001,26318
2002,26376
2003,26032
2004,26440
2005,26593
2006,26958
2007,27575
2008,27590
2009,26743
2010,27238
