Region:Middle East North Africa

year,income_per_person
1960,17412
1961,21925
1962,27603
1963,34750
1964,43746
1965,55066
1966,69310
1967,87233
1968,109785
1969,138156
1970,173848
1971,174338
1972,176115
1973,177977
1974,173432
1975,170626
1976,173783
1977,152545
1978,156748
1979,153362
1980,138407
1981,125146
1982,103593
1983,90577
1984,85367
1985,76390
1986,74548
1987,69811
1988,69896
1989,70866
1990,70570
1991,67824
1992,74286
1993,72418
1994,72644
1995,73466
1996,75380
1997,95747
1998,103428
1999,104257
2000,108287
2001,108384
2002,111482
2003,108689
2004,117271
2005,109732
2006,117156
2007,116023
2008,115779
2009,112526
2010,119974
