Region:Europe Central Asia

year,income_per_person
1960,3123
1961,3363
1962,3467
1963,3761
1964,4112
1965,4436
1966,4913
1967,5358
1968,5642
1969,5909
1970,6448
1971,6863
1972,7681
1973,8590
1974,8601
1975,8721
1976,9613
1977,10107
1978,10961
1979,11035
1980,11030
1981,10982
1982,11381
1983,12052
1984,12748
1985,12700
1986,12960
1987,13025
1988,12922
1989,12134
1990,11446
1991,10054
1992,9256
1993,9410
1994,9794
1995,10426
1996,10865
1997,10368
1998,10178
1999,10156
2000,10419
2001,11117
2002,11968
2003,12337
2004,13701
2005,14430
2006,15681
2007,17065
2008,18967
2009,18071
2010,17469
