Region:Europe Central Asia

year,income_per_person
1960,8972
1961,9494
1962,10078
1963,10374
1964,10950
1965,11471
1966,12213
1967,12918
1968,13659
1969,13953
1970,15063
1971,15623
1972,15996
1973,17166
1974,17690
1975,18304
1976,18751
1977,19209
1978,19452
1979,19536
1980,20110
1981,20246
1982,20256
1983,20529
1984,20480
1985,20661
1986,21046
1987,20906
1988,21130
1989,21229
1990,20639
1991,19554
1992,16705
1993,15274
1994,13371
1995,12813
1996,12370
1997,12564
1998,11918
1999,12720
2000,14051
2001,14829
2002,15604
2003,16819
2004,18098
2005,19326
2006,20970
2007,22799
2008,24006
2009,22122
2010,23326
