Region:Sub Saharan Africa

year,income_per_person
1960,720
1961,687
1962,765
1963,674
1964,581
1965,608
1966,633
1967,661
1968,688
1969,743
1970,801
1971,789
1972,770
1973,775
1974,761
1975,725
1976,839
1977,855
1978,909
1979,965
1980,1020
1981,1042
1982,1029
1983,1055
1984,981
1985,997
1986,1012
1987,979
1988,952
1989,914
1990,868
1991,871
1992,974
1993,958
1994,503
1995,692
1996,757
1997,807
1998,810
1999,784
2000,803
2001,840
2002,929
2003,935
2004,990
2005,1063
2006,1135
2007,1192
2008,1291
2009,1335
2010,1396
