Region:East Asia Pacific

year,income_per_person
1960,3341
1961,3379
1962,3419
1963,3458
1964,3498
1965,3539
1966,3580
1967,3621
1968,3663
1969,3706
1970,3749
1971,3793
1972,3837
1973,3881
1974,3434
1975,3274
1976,3549
1977,3494
1978,3687
1979,4150
1980,3880
1981,3518
1982,3472
1983,3478
1984,3513
1985,3637
1986,3819
1987,3816
1988,3737
1989,3849
1990,3651
1991,3541
1992,3502
1993,3610
1994,3485
1995,3688
1996,3927
1997,3932
1998,4000
1999,4069
2000,4330
2001,4605
2002,4778
2003,4963
2004,5161
2005,5341
2006,5412
2007,5717
2008,5736
2009,5422
2010,5407
