Region:Europe Central Asia

year,income_per_person
1960,13817
1961,14782
1962,15811
1963,16906
1964,18074
1965,19318
1966,20644
1967,22055
1968,23559
1969,25160
1970,26864
1971,27502
1972,28784
1973,31173
1974,33193
1975,32665
1976,35005
1977,35781
1978,36745
1979,38717
1980,39892
1981,40143
1982,40260
1983,40728
1984,42047
1985,43232
1986,44470
1987,45895
1988,47827
1989,49430
1990,50409
1991,50537
1992,50257
1993,53940
1994,57014
1995,61652
1996,64115
1997,65220
1998,69393
1999,74786
2000,75557
2001,78748
2002,77999
2003,79928
2004,82502
2005,83361
2006,85479
2007,90468
2008,90840
2009,78208
2010,73581
