Region:Sub Saharan Africa

year,income_per_person
1960,1483
1961,1585
1962,1682
1963,1774
1964,1860
1965,1938
1966,2039
1967,2116
1968,2188
1969,2259
1970,2329
1971,2401
1972,2386
1973,2360
1974,2435
1975,2490
1976,2439
1977,2903
1978,2884
1979,3247
1980,3116
1981,2709
1982,2726
1983,2555
1984,2340
1985,2491
1986,2283
1987,2157
1988,2140
1989,2146
1990,2041
1991,2019
1992,1995
1993,1985
1994,1995
1995,1999
1996,1991
1997,1972
1998,1981
1999,1988
2000,1955
2001,1974
2002,1984
2003,2073
2004,2106
2005,2201
2006,2340
2007,2349
2008,2469
2009,2461
2010,2560
