Region:Middle East North Africa

year,income_per_person
1960,17842
1961,19501
1962,21311
1963,22599
1964,23976
1965,26193
1966,29213
1967,30931
1968,32763
1969,34290
1970,36449
1971,40507
1972,45372
1973,52726
1974,58880
1975,56256
1976,57758
1977,62308
1978,61597
1979,61210
1980,62972
1981,63923
1982,61337
1983,51705
1984,48782
1985,43033
1986,38470
1987,38524
1988,38141
1989,38017
1990,42700
1991,47531
1992,47968
1993,46033
1994,45144
1995,44210
1996,44434
1997,44060
1998,44473
1999,41928
2000,43281
2001,41670
2002,39376
2003,42533
2004,44576
2005,45710
2006,45676
2007,45252
2008,46773
2009,44534
2010,45428
