Region:Sub Saharan Africa

year,income_per_person
1960,2041
1961,2105
1962,2145
1963,2195
1964,2206
1965,2245
1966,2263
1967,2196
1968,2294
1969,2104
1970,2238
1971,2189
1972,2281
1973,2109
1974,2151
1975,2280
1976,2450
1977,2332
1978,2190
1979,2291
1980,2165
1981,2098
1982,2360
1983,2364
1984,2203
1985,2234
1986,2287
1987,2324
1988,2386
1989,2283
1990,2323
1991,2312
1992,2272
1993,2236
1994,2173
1995,2230
1996,2218
1997,2232
1998,2309
1999,2399
2000,2418
2001,2469
2002,2425
2003,2524
2004,2605
2005,2682
2006,2678
2007,2737
2008,2773
2009,2755
2010,2776
