Region:Europe Central Asia

year,income_per_person
1960,6249
1961,6385
1962,6692
1963,7440
1964,8147
1965,8242
1966,8890
1967,8969
1968,9049
1969,10013
1970,10217
1971,11099
1972,11501
1973,12067
1974,13002
1975,13264
1976,13844
1977,14846
1978,15499
1979,16753
1980,16662
1981,16903
1982,16980
1983,16589
1984,16820
1985,16763
1986,17274
1987,16938
1988,16645
1989,16891
1990,15012
1991,13339
1992,9678
1993,6736
1994,6925
1995,7349
1996,7535
1997,8099
1998,8327
1999,7342
2000,7937
2001,8348
2002,8950
2003,9365
2004,10236
2005,10836
2006,11934
2007,12754
2008,13533
2009,13216
2010,13367
