Region:Sub Saharan Africa

year,income_per_person
1960,5421
1961,4990
1962,5295
1963,5652
1964,5728
1965,5611
1966,5618
1967,5502
1968,5833
1969,5687
1970,5959
1971,6724
1972,7006
1973,7555
1974,7545
1975,7637
1976,8737
1977,9328
1978,10045
1979,11426
1980,10951
1981,10119
1982,9888
1983,9648
1984,10331
1985,11293
1986,11334
1987,11737
1988,12245
1989,13363
1990,14217
1991,14416
1992,15377
1993,15993
1994,15448
1995,15097
1996,15609
1997,17272
1998,18361
1999,18341
2000,18453
2001,18018
2002,17688
2003,16836
2004,16417
2005,17812
2006,19086
2007,20968
2008,20064
2009,19765
2010,20365
