Region:Sub Saharan Africa

year,income_per_person
1960,1192
1961,1186
1962,1212
1963,1204
1964,1190
1965,1245
1966,1293
1967,1254
1968,1344
1969,1431
1970,1444
1971,1415
1972,1392
1973,1405
1974,1417
1975,1378
1976,1330
1977,1303
1978,1315
1979,1343
1980,1342
1981,1354
1982,1337
1983,1294
1984,1308
1985,1296
1986,1273
1987,1281
1988,1268
1989,1267
1990,1248
1991,1269
1992,1028
1993,1047
1994,1031
1995,950
1996,965
1997,903
1998,910
1999,875
2000,909
2001,821
2002,993
2003,1037
2004,1058
2005,1064
2006,1074
2007,1129
2008,1162
2009,1173
2010,1208
