Region:East Asia Pacific

year,income_per_person
1960,4367
1961,4601
1962,4829
1963,5217
1964,4933
1965,5218
1966,5683
1967,6286
1968,7069
1969,7974
1970,9004
1971,9976
1972,11194
1973,12291
1974,12958
1975,13448
1976,14349
1977,15312
1978,16552
1979,18000
1980,19683
1981,20876
1982,21527
1983,23187
1984,24887
1985,24811
1986,25296
1987,27742
1988,30208
1989,32486
1990,34912
1991,36202
1992,37463
1993,40714
1994,43836
1995,45586
1996,47041
1997,49272
1998,46581
1999,48855
2000,52357
2001,50418
2002,51916
2003,55077
2004,59733
2005,62639
2006,66176
2007,69203
2008,66842
2009,64935
2010,73061
