Region:Europe Central Asia

year,income_per_person
1960,8489
1961,8748
1962,8816
1963,8593
1964,8928
1965,9193
1966,9534
1967,9900
1968,10323
1969,10533
1970,10710
1971,11017
1972,11335
1973,11623
1974,11939
1975,12179
1976,12261
1977,12702
1978,12749
1979,12753
1980,13015
1981,12873
1982,13058
1983,13190
1984,13433
1985,13473
1986,14051
1987,14409
1988,14717
1989,14899
1990,14569
1991,12432
1992,11633
1993,11809
1994,12492
1995,13184
1996,14045
1997,14869
1998,15445
1999,15398
2000,15605
2001,16152
2002,16889
2003,17816
2004,18757
2005,20021
2006,21712
2007,24050
2008,25382
2009,23974
2010,25159
