Region:Europe Central Asia

year,income_per_person
1960,6550
1961,7127
1962,7409
1963,8225
1964,8965
1965,8974
1966,9429
1967,9694
1968,10269
1969,11224
1970,12260
1971,13137
1972,13788
1973,14637
1974,16010
1975,16849
1976,17178
1977,18373
1978,19861
1979,21297
1980,21174
1981,21043
1982,20736
1983,20739
1984,21032
1985,21135
1986,21694
1987,21507
1988,20802
1989,20634
1990,18899
1991,17206
1992,16289
1993,16793
1994,17708
1995,18431
1996,19091
1997,20094
1998,20800
1999,21881
2000,22723
2001,23357
2002,24223
2003,24896
2004,25963
2005,26955
2006,28389
2007,30191
2008,31138
2009,28452
2010,28678
