Region:East Asia Pacific

year,income_per_person
1960,1113
1961,1134
1962,1155
1963,1176
1964,1198
1965,1220
1966,1242
1967,1266
1968,1287
1969,1213
1970,1235
1971,1222
1972,846
1973,911
1974,1111
1975,946
1976,1041
1977,1154
1978,1217
1979,1470
1980,1336
1981,1467
1982,1459
1983,1607
1984,1575
1985,1541
1986,1793
1987,1787
1988,1804
1989,1900
1990,1883
1991,1941
1992,2126
1993,2148
1994,2280
1995,2399
1996,2370
1997,2272
1998,2249
1999,2177
2000,1817
2001,1627
2002,1540
2003,1597
2004,1634
2005,1680
2006,1755
2007,1842
2008,1928
2009,1795
2010,1871
