Region:Sub Saharan Africa

year,income_per_person
1960,1210
1961,1243
1962,1272
1963,1294
1964,1131
1965,1034
1966,1155
1967,1196
1968,1190
1969,1019
1970,1083
1971,1097
1972,1256
1973,1092
1974,1065
1975,1148
1976,1027
1977,1046
1978,995
1979,869
1980,837
1981,866
1982,888
1983,794
1984,832
1985,919
1986,897
1987,979
1988,962
1989,950
1990,930
1991,921
1992,813
1993,817
1994,644
1995,637
1996,648
1997,613
1998,607
1999,605
2000,603
2001,603
2002,607
2003,611
2004,614
2005,616
2006,615
2007,615
2008,615
2009,615
2010,614
