Region:Sub Saharan Africa

year,income_per_person
1960,7216
1961,7357
1962,7586
1963,7950
1964,8283
1965,8569
1966,8729
1967,9106
1968,9275
1969,9611
1970,9881
1971,10129
1972,10095
1973,10286
1974,10622
1975,10581
1976,10601
1977,10353
1978,10429
1979,10602
1980,11030
1981,11289
1982,10922
1983,10417
1984,10635
1985,10206
1986,9992
1987,9983
1988,10181
1989,10188
1990,9900
1991,9561
1992,9126
1993,9014
1994,9089
1995,9174
1996,9386
1997,9463
1998,9359
1999,9442
2000,9701
2001,9831
2002,10066
2003,10237
2004,10574
2005,10995
2006,11465
2007,11925
2008,12142
2009,11790
2010,11973
