Region:East Asia Pacific

year,income_per_person
1960,1691
1961,1717
1962,1713
1963,1808
1964,1908
1965,1971
1966,2151
1967,2252
1968,2478
1969,2787
1970,2958
1971,3181
1972,3346
1973,3843
1974,4098
1975,4293
1976,4715
1977,5114
1978,5500
1979,5806
1980,5557
1981,5805
1982,6142
1983,6741
1984,7229
1985,7618
1986,8405
1987,9272
1988,10206
1989,10739
1990,11633
1991,12711
1992,13356
1993,14126
1994,15272
1995,16566
1996,17656
1997,18527
1998,17387
1999,19216
2000,20757
2001,21530
2002,22997
2003,23549
2004,24606
2005,25517
2006,26697
2007,28014
2008,28588
2009,28643
2010,30352
