Region:Sub Saharan Africa

year,income_per_person
1960,2448
1961,2396
1962,2508
1963,2384
1964,2311
1965,2423
1966,2344
1967,2224
1968,2311
1969,2403
1970,2250
1971,2352
1972,2249
1973,2009
1974,2158
1975,2371
1976,2736
1977,3070
1978,2934
1979,2548
1980,2494
1981,2478
1982,2715
1983,2609
1984,2405
1985,2177
1986,2208
1987,2218
1988,2211
1989,2341
1990,2100
1991,2181
1992,2231
1993,2235
1994,2218
1995,2224
1996,2278
1997,2440
1998,2513
1999,2628
2000,2801
2001,2890
2002,2980
2003,3105
2004,3178
2005,3362
2006,3607
2007,3920
2008,3941
2009,3956
2010,4013
