Region:Europe Central Asia

year,income_per_person
1960,5960
1961,6621
1962,7219
1963,7889
1964,8267
1965,8844
1966,9408
1967,9821
1968,10305
1969,11161
1970,11422
1971,11898
1972,13003
1973,14039
1974,14966
1975,15269
1976,15814
1977,16187
1978,16492
1979,16648
1980,17072
1981,16958
1982,17167
1983,17428
1984,17538
1985,18033
1986,18732
1987,20028
1988,21295
1989,22668
1990,23759
1991,24302
1992,24408
1993,24031
1994,24487
1995,25051
1996,25614
1997,26448
1998,27473
1999,28589
2000,29967
2001,30951
2002,31395
2003,31815
2004,32261
2005,32902
2006,33701
2007,34330
2008,34164
2009,32653
2010,32507
