Region:South Asia

year,income_per_person
1960,1882
1961,1870
1962,1887
1963,1880
1964,1925
1965,1939
1966,1875
1967,2000
1968,2102
1969,2139
1970,2196
1971,2137
1972,2143
1973,2193
1974,2230
1975,2248
1976,2277
1977,2388
1978,2494
1979,2608
1980,2704
1981,2830
1982,2926
1983,3039
1984,3152
1985,3244
1986,3362
1987,3349
1988,3391
1989,3436
1990,3613
1991,3734
1992,3854
1993,4077
1994,4265
1995,4463
1996,4601
1997,4868
1998,5071
1999,5261
2000,5543
2001,5419
2002,5589
2003,5871
2004,6139
2005,6469
2006,6912
2007,7328
2008,7708
2009,7926
2010,8503
