Region:America

year,income_per_person
1960,3823
1961,3879
1962,3936
1963,3993
1964,4051
1965,4109
1966,4170
1967,4230
1968,4291
1969,4354
1970,4417
1971,4753
1972,5013
1973,5229
1974,5528
1975,5695
1976,6077
1977,6504
1978,7041
1979,7754
1980,8458
1981,8618
1982,8543
1983,8522
1984,9482
1985,10179
1986,11490
1987,12634
1988,13925
1989,15097
1990,15481
1991,15147
1992,15671
1993,16558
1994,17234
1995,17965
1996,18835
1997,19942
1998,19677
1999,20127
2000,21990
2001,22930
2002,23202
2003,22118
2004,22728
2005,24648
2006,25109
2007,24866
2008,26255
2009,25155
2010,24575
