Region:America

year,income_per_person
1960,2623
1961,2726
1962,2823
1963,2924
1964,3023
1965,3116
1966,3204
1967,3298
1968,3411
1969,3529
1970,3637
1971,3763
1972,3809
1973,3814
1974,3984
1975,4129
1976,4824
1977,5209
1978,5534
1979,5652
1980,5274
1981,5373
1982,5493
1983,5754
1984,6096
1985,6496
1986,7532
1987,7693
1988,8753
1989,9379
1990,9633
1991,9533
1992,10163
1993,10104
1994,10147
1995,10199
1996,10359
1997,10145
1998,10634
1999,10779
2000,10665
2001,10207
2002,10172
2003,10530
2004,11206
2005,11051
2006,11596
2007,11676
2008,12086
2009,11758
2010,11667
