Region:America

year,income_per_person
1960,2931
1961,3009
1962,3070
1963,2833
1964,2896
1965,2880
1966,2840
1967,2534
1968,2662
1969,2699
1970,2947
1971,3014
1972,3768
1973,3326
1974,3012
1975,2764
1976,3032
1977,3099
1978,3382
1979,3478
1980,3545
1981,3692
1982,3842
1983,3912
1984,4157
1985,4400
1986,4634
1987,4643
1988,5286
1989,5354
1990,5577
1991,5625
1992,5974
1993,6224
1994,6145
1995,6623
1996,6712
1997,6953
1998,7243
1999,7443
2000,7563
2001,7684
2002,8155
2003,8763
2004,9112
2005,9330
2006,10048
2007,10392
2008,10569
2009,10357
2010,10013
