Region:Sub Saharan Africa

year,income_per_person
1960,2399
1961,2333
1962,2427
1963,2294
1964,2210
1965,2303
1966,2214
1967,2088
1968,2156
1969,2228
1970,2075
1971,2155
1972,2048
1973,1819
1974,1942
1975,2122
1976,2433
1977,2715
1978,2580
1979,2227
1980,2168
1981,2140
1982,2332
1983,2228
1984,2048
1985,1856
1986,1875
1987,1876
1988,1866
1989,1970
1990,1762
1991,1846
1992,1917
1993,1953
1994,1922
1995,1984
1996,2046
1997,2202
1998,2235
1999,2242
2000,2319
2001,2402
2002,2486
2003,2605
2004,2631
2005,2751
2006,2945
2007,3194
2008,3351
2009,3369
2010,3397
