Region:America

year,income_per_person
1960,6017
1961,6142
1962,6268
1963,6397
1964,6527
1965,6660
1966,6795
1967,6932
1968,7071
1969,7211
1970,7355
1971,7836
1972,8270
1973,8706
1974,8198
1975,9124
1976,10033
1977,11131
1978,11782
1979,11121
1980,10198
1981,10957
1982,10526
1983,10125
1984,9917
1985,11238
1986,10937
1987,10001
1988,10701
1989,11009
1990,10417
1991,10495
1992,10346
1993,9486
1994,9649
1995,9502
1996,9461
1997,9869
1998,9971
1999,9715
2000,9801
2001,10092
2002,10253
2003,10772
2004,11551
2005,11931
2006,12478
2007,12963
2008,13346
2009,13591
2010,14131
