Region:Europe Central Asia

year,income_per_person
1960,14677
1961,15457
1962,16041
1963,16823
1964,17863
1965,18398
1966,18627
1967,19136
1968,19747
1969,20618
1970,21778
1971,21864
1972,22328
1973,23203
1974,23908
1975,24456
1976,24659
1977,24211
1978,24596
1979,25520
1980,25928
1981,25928
1982,26208
1983,26691
1984,27763
1985,28289
1986,28881
1987,29697
1988,30234
1989,30786
1990,30976
1991,30413
1992,29885
1993,29098
1994,30073
1995,31118
1996,31541
1997,32441
1998,33798
1999,35287
2000,36902
2001,37382
2002,38034
2003,38787
2004,40300
2005,41270
2006,42967
2007,44103
2008,43517
2009,40906
2010,42989
