Region:Europe Central Asia

year,income_per_person
1960,29063
1961,30521
1962,31074
1963,31864
1964,32937
1965,33620
1966,34093
1967,34703
1968,35497
1969,36965
1970,38927
1971,39974
1972,40825
1973,41755
1974,42183
1975,39404
1976,39229
1977,40238
1978,40246
1979,41075
1980,42678
1981,43023
1982,42068
1983,42011
1984,43035
1985,44216
1986,44608
1987,44559
1988,45513
1989,47007
1990,48182
1991,47148
1992,46610
1993,46129
1994,46344
1995,46257
1996,46302
1997,47271
1998,48540
1999,49128
2000,50776
2001,51118
2002,50815
2003,50460
2004,51505
2005,52770
2006,54532
2007,56269
2008,56756
2009,54806
2010,55866
