Region:Middle East North Africa

year,income_per_person
1960,2240
1961,2347
1962,2812
1963,2721
1964,2694
1965,2602
1966,2325
1967,2438
1968,2449
1969,2816
1970,2623
1971,2785
1972,3366
1973,2976
1974,3572
1975,4127
1976,4427
1977,4226
1978,4443
1979,4452
1980,4821
1981,5105
1982,5027
1983,4917
1984,4551
1985,4660
1986,4276
1987,4208
1988,4607
1989,4060
1990,4223
1991,4543
1992,5001
1993,5223
1994,5362
1995,5498
1996,5506
1997,5296
1998,5441
1999,5138
2000,5133
2001,5214
2002,5422
2003,5218
2004,5462
2005,5654
2006,5751
2007,5859
2008,5916
2009,6123
2010,6287
