Region:Europe Central Asia

year,income_per_person
1960,3735
1961,3874
1962,3909
1963,3757
1964,4178
1965,4354
1966,4506
1967,4647
1968,4862
1969,4875
1970,5191
1971,5266
1972,5231
1973,5605
1974,5467
1975,5333
1976,5202
1977,5073
1978,4948
1979,4825
1980,4706
1981,4572
1982,4440
1983,4449
1984,4356
1985,4241
1986,4175
1987,3928
1988,4268
1989,3811
1990,3661
1991,3328
1992,2319
1993,1907
1994,1478
1995,1276
1996,1047
1997,1049
1998,1088
1999,1111
2000,1185
2001,1278
2002,1392
2003,1517
2004,1644
2005,1721
2006,1807
2007,1908
2008,2017
2009,2052
2010,2138
