Region:Sub Saharan Africa

year,income_per_person
1960,1271
1961,1222
1962,1296
1963,1338
1964,1372
1965,1380
1966,1512
1967,1527
1968,1559
1969,1541
1970,1581
1971,1599
1972,1653
1973,1651
1974,1639
1975,1675
1976,1744
1977,1742
1978,1741
1979,1714
1980,1682
1981,1616
1982,1592
1983,1539
1984,1533
1985,1485
1986,1487
1987,1515
1988,1530
1989,1536
1990,1546
1991,1526
1992,1484
1993,1452
1994,1428
1995,1436
1996,1463
1997,1478
1998,1498
1999,1534
2000,1565
2001,1617
2002,1685
2003,1748
2004,1827
2005,1909
2006,1977
2007,2053
2008,2109
2009,2157
2010,2228
