Region:East Asia Pacific

year,income_per_person
1960,1504
1961,1536
1962,1606
1963,1686
1964,1749
1965,1833
1966,1982
1967,2086
1968,2195
1969,2302
1970,2386
1971,2432
1972,2468
1973,2647
1974,2701
1975,2772
1976,2963
1977,3190
1978,3438
1979,3547
1980,3633
1981,3779
1982,3912
1983,4062
1984,4228
1985,4359
1986,4535
1987,4898
1988,5475
1989,6062
1990,6653
1991,7138
1992,7637
1993,8193
1994,8767
1995,9385
1996,9806
1997,9424
1998,8600
1999,8890
2000,9190
2001,9419
2002,9915
2003,10549
2004,11135
2005,11527
2006,12027
2007,12610
2008,12760
2009,12608
2010,13489
