Region:East Asia Pacific

year,income_per_person
1960,719
1961,752
1962,787
1963,820
1964,855
1965,889
1966,924
1967,958
1968,994
1969,1028
1970,1062
1971,1098
1972,1133
1973,1169
1974,1231
1975,1295
1976,1361
1977,1430
1978,1503
1979,1577
1980,1653
1981,1733
1982,1817
1983,1903
1984,1991
1985,2082
1986,2179
1987,2277
1988,2377
1989,2484
1990,2591
1991,2779
1992,2960
1993,3155
1994,3382
1995,3662
1996,4073
1997,4314
1998,4305
1999,2805
2000,3265
2001,3498
2002,3182
2003,3064
2004,4899
2005,6501
2006,9017
2007,9309
2008,10048
2009,9276
2010,9005
