Region:Sub Saharan Africa

year,income_per_person
1960,1301
1961,1349
1962,1358
1963,1382
1964,1532
1965,1688
1966,1785
1967,1825
1968,1856
1969,1991
1970,1891
1971,1957
1972,1956
1973,1810
1974,1823
1975,1749
1976,1680
1977,1713
1978,1819
1979,1860
1980,1711
1981,1540
1982,1422
1983,1294
1984,1314
1985,1307
1986,1295
1987,1211
1988,1279
1989,1277
1990,1298
1991,1260
1992,1184
1993,985
1994,1107
1995,1164
1996,1231
1997,1365
1998,1292
1999,1283
2000,1235
2001,1182
2002,1141
2003,1168
2004,1162
2005,1146
2006,1161
2007,1156
2008,1171
2009,1203
2010,1242
