Region:East Asia Pacific

year,income_per_person
1960,1542
1961,1559
1962,1576
1963,1593
1964,1610
1965,1628
1966,1646
1967,1664
1968,1682
1969,1700
1970,1720
1971,1738
1972,1757
1973,1776
1974,1851
1975,1911
1976,1922
1977,1994
1978,2004
1979,2018
1980,2326
1981,2658
1982,3076
1983,3292
1984,3384
1985,3626
1986,3703
1987,3799
1988,3700
1989,3683
1990,3577
1991,3800
1992,3803
1993,3939
1994,4126
1995,4269
1996,4256
1997,4235
1998,4332
1999,4479
2000,4607
2001,4748
2002,4884
2003,4958
2004,4910
2005,4954
2006,4875
2007,4632
2008,4738
2009,4823
2010,4991
