Region:America

year,income_per_person
1960,7365
1961,7519
1962,7699
1963,7952
1964,8062
1965,8347
1966,8603
1967,8726
1968,9164
1969,9433
1970,9862
1971,9911
1972,10353
1973,10437
1974,10896
1975,10991
1976,11888
1977,12449
1978,13705
1979,14127
1980,15035
1981,15487
1982,14343
1983,12997
1984,13552
1985,12796
1986,12201
1987,11493
1988,10947
1989,10786
1990,10912
1991,11178
1992,12231
1993,12082
1994,12453
1995,12880
1996,13762
1997,14770
1998,15947
1999,17196
2000,18336
2001,19033
2002,20454
2003,23292
2004,25016
2005,26438
2006,29791
2007,31067
2008,31974
2009,30420
2010,31260
