Region:Middle East North Africa

year,income_per_person
1960,2244
1961,2400
1962,2306
1963,2602
1964,2658
1965,2766
1966,2768
1967,2687
1968,2905
1969,2947
1970,3059
1971,3320
1972,3832
1973,3722
1974,3927
1975,4100
1976,4308
1977,4348
1978,4530
1979,4717
1980,4940
1981,5085
1982,4965
1983,5103
1984,5152
1985,5310
1986,5102
1987,5316
1988,5209
1989,5296
1990,5608
1991,5699
1992,6011
1993,6016
1994,6088
1995,6124
1996,6461
1997,6720
1998,6956
1999,7298
2000,7567
2001,7785
2002,7827
2003,8134
2004,8574
2005,8799
2006,9175
2007,9692
2008,9996
2009,10192
2010,10441
