Region:Europe Central Asia

year,income_per_person
1960,3779
1961,3763
1962,3921
1963,4222
1964,4328
1965,4374
1966,4814
1967,4957
1968,5213
1969,5407
1970,5586
1971,6000
1972,6287
1973,6454
1974,6857
1975,7342
1976,7860
1977,8085
1978,8205
1979,8030
1980,7874
1981,8061
1982,8313
1983,8471
1984,8812
1985,9120
1986,9619
1987,10316
1988,10577
1989,10564
1990,11400
1991,11290
1992,11665
1993,12357
1994,11594
1995,12310
1996,13010
1997,13776
1998,13874
1999,13198
2000,13862
2001,12842
2002,13468
2003,14020
2004,15161
2005,16310
2006,17252
2007,17905
2008,17842
2009,16788
2010,17959
