Region:Europe Central Asia

year,income_per_person
1960,6611
1961,6876
1962,6958
1963,6707
1964,7481
1965,7821
1966,8119
1967,8399
1968,8814
1969,8864
1970,9470
1971,9638
1972,9607
1973,10327
1974,10090
1975,9828
1976,9998
1977,9945
1978,9909
1979,9589
1980,9338
1981,9241
1982,9149
1983,9130
1984,8854
1985,8710
1986,8767
1987,8788
1988,9400
1989,8457
1990,8317
1991,7713
1992,6373
1993,6290
1994,5070
1995,4601
1996,4818
1997,4202
1998,4441
1999,5113
2000,5333
2001,5506
2002,5465
2003,5589
2004,5809
2005,6495
2006,7125
2007,7815
2008,8845
2009,9249
2010,9942
