Region:East Asia Pacific

year,income_per_person
1960,1564
1961,1580
1962,1595
1963,1612
1964,1628
1965,1644
1966,1660
1967,1676
1968,1692
1969,1710
1970,1726
1971,1747
1972,1747
1973,2317
1974,2647
1975,2625
1976,2612
1977,2655
1978,2781
1979,2815
1980,2584
1981,2373
1982,1887
1983,1853
1984,1959
1985,1890
1986,1848
1987,1996
1988,2165
1989,2088
1990,2377
1991,2432
1992,2477
1993,2555
1994,2801
1995,2647
1996,2483
1997,2731
1998,3152
1999,3098
2000,3052
2001,3072
2002,3276
2003,3124
2004,3037
2005,2884
2006,2911
2007,3065
2008,3280
2009,3102
2010,2987
