Region:Sub Saharan Africa

year,income_per_person
1960,1107
1961,1060
1962,1066
1963,1149
1964,1194
1965,1179
1966,1210
1967,1231
1968,1219
1969,1306
1970,1279
1971,1276
1972,1251
1973,1213
1974,1180
1975,1121
1976,1094
1977,1076
1978,986
1979,852
1980,800
1981,806
1982,844
1983,876
1984,771
1985,756
1986,728
1987,740
1988,756
1989,775
1990,773
1991,789
1992,789
1993,827
1994,853
1995,922
1996,976
1997,997
1998,1016
1999,1066
2000,1067
2001,1088
2002,1147
2003,1183
2004,1224
2005,1261
2006,1353
2007,1422
2008,1497
2009,1549
2010,1585
