Region:Europe Central Asia

year,income_per_person
1960,6488
1961,6746
1962,6823
1963,6573
1964,7327
1965,7653
1966,7938
1967,8204
1968,8601
1969,8639
1970,9217
1971,9368
1972,9325
1973,10007
1974,10030
1975,10051
1976,10072
1977,10093
1978,10112
1979,10131
1980,10148
1981,10327
1982,10513
1983,10827
1984,10943
1985,10737
1986,10659
1987,10826
1988,10782
1989,11093
1990,10464
1991,9564
1992,8611
1993,7382
1994,5718
1995,5060
1996,4594
1997,4497
1998,4452
1999,4485
2000,4797
2001,5292
2002,5625
2003,6211
2004,7016
2005,7279
2006,7874
2007,8522
2008,8766
2009,7506
2010,7824
