Region:Middle East North Africa

year,income_per_person
1960,1767
1961,1973
1962,2203
1963,2863
1964,4871
1965,8285
1966,14092
1967,23968
1968,28831
1969,34679
1970,41712
1971,40411
1972,38807
1973,59459
1974,145607
1975,163793
1976,161232
1977,163498
1978,139828
1979,155673
1980,178635
1981,177262
1982,154741
1983,141826
1984,136876
1985,126695
1986,98047
1987,99140
1988,80914
1989,90133
1990,112350
1991,106956
1992,104302
1993,99773
1994,101018
1995,102387
1996,103032
1997,105953
1998,100904
1999,98483
2000,103318
2001,99414
2002,96679
2003,98581
2004,98543
2005,91625
2006,87120
2007,77236
2008,69351
2009,58843
2010,55363
