Region:Europe Central Asia

year,income_per_person
1960,13512
1961,13861
1962,13892
1963,14355
1964,15031
1965,15340
1966,15570
1967,15848
1968,16438
1969,16684
1970,17047
1971,17344
1972,17926
1973,19111
1974,18870
1975,18876
1976,19327
1977,19780
1978,20515
1979,21085
1980,20733
1981,20465
1982,20824
1983,21574
1984,22109
1985,22854
1986,23815
1987,24899
1988,26090
1989,26616
1990,26675
1991,26303
1992,26329
1993,26930
1994,27908
1995,28517
1996,29166
1997,30340
1998,31262
1999,32160
2000,33152
2001,33962
2002,34664
2003,35656
2004,36286
2005,37172
2006,37840
2007,38502
2008,38068
2009,36177
2010,36509
