Region:America

year,income_per_person
1960,18058
1961,18172
1962,18971
1963,19506
1964,20348
1965,21374
1966,22508
1967,22818
1968,23663
1969,24163
1970,23921
1971,24354
1972,25368
1973,26550
1974,26231
1975,25897
1976,26993
1977,27928
1978,29206
1979,29864
1980,29523
1981,29960
1982,29113
1983,30053
1984,31958
1985,32898
1986,33717
1987,34587
1988,35712
1989,36594
1990,36813
1991,36285
1992,37045
1993,37566
1994,38604
1995,39171
1996,40178
1997,41463
1998,42819
1999,44342
2000,45661
2001,45663
2002,46029
2003,46941
2004,48275
2005,49513
2006,50438
2007,50898
2008,50350
2009,48644
2010,49479
