Region:America

year,income_per_person
1960,7512
1961,7600
1962,7355
1963,7301
1964,7341
1965,7334
1966,7516
1967,7132
1968,7173
1969,7543
1970,7818
1971,7717
1972,7427
1973,7655
1974,7929
1975,8297
1976,8569
1977,8655
1978,9161
1979,9619
1980,10170
1981,10253
1982,9220
1983,8605
1984,8458
1985,8543
1986,9230
1987,9870
1988,9814
1989,9851
1990,9842
1991,10118
1992,10842
1993,11049
1994,11766
1995,11513
1996,12069
1997,13009
1998,13511
1999,13181
2000,12881
2001,12364
2002,11406
2003,11506
2004,12090
2005,12991
2006,13508
2007,14365
2008,15356
2009,15963
2010,17159
