Region:Europe Central Asia

year,income_per_person
1960,3159
1961,3290
1962,3334
1963,3218
1964,3591
1965,3756
1966,3898
1967,4032
1968,4229
1969,4249
1970,4532
1971,4605
1972,4582
1973,4914
1974,4749
1975,4566
1976,4582
1977,4497
1978,4419
1979,4217
1980,4048
1981,4022
1982,3991
1983,3964
1984,3651
1985,3584
1986,3384
1987,3216
1988,3356
1989,3289
1990,3089
1991,3009
1992,2610
1993,2493
1994,2317
1995,2256
1996,2250
1997,2323
1998,2384
1999,2460
2000,2520
2001,2591
2002,2662
2003,2742
2004,2913
2005,3079
2006,3268
2007,3527
2008,3785
2009,4021
2010,4240
