Region:East Asia Pacific

year,income_per_person
1960,1474
1961,1494
1962,1513
1963,1533
1964,1553
1965,1573
1966,1593
1967,1614
1968,1635
1969,1656
1970,1678
1971,1699
1972,1721
1973,1744
1974,2274
1975,2104
1976,2081
1977,2000
1978,2284
1979,2307
1980,1990
1981,2022
1982,2186
1983,2593
1984,2710
1985,2679
1986,2566
1987,2520
1988,2476
1989,2498
1990,2550
1991,2558
1992,2549
1993,2495
1994,2648
1995,2611
1996,2616
1997,2694
1998,2762
1999,2721
2000,2824
2001,2665
2002,2467
2003,2508
2004,2542
2005,2611
2006,2764
2007,2840
2008,2953
2009,2977
2010,2949
