Region:America

year,income_per_person
1960,13668
1961,13788
1962,14471
1963,14893
1964,15769
1965,16125
1966,15919
1967,15994
1968,16283
1969,16422
1970,17121
1971,17001
1972,16924
1973,17362
1974,17801
1975,18281
1976,19146
1977,19710
1978,19460
1979,19061
1980,18085
1981,17495
1982,17119
1983,15698
1984,15068
1985,14695
1986,15217
1987,15333
1988,15810
1989,14078
1990,14619
1991,15672
1992,16249
1993,15937
1994,15231
1995,15503
1996,15159
1997,15805
1998,15545
1999,14339
2000,14589
2001,14807
2002,13251
2003,12008
2004,13961
2005,15147
2006,16383
2007,17558
2008,18225
2009,17392
2010,16887
