Region:East Asia Pacific

year,income_per_person
1960,1179
1961,1197
1962,1303
1963,1297
1964,1315
1965,1285
1966,1258
1967,1069
1968,1022
1969,1078
1970,1071
1971,1097
1972,1166
1973,1214
1974,1137
1975,1028
1976,1171
1977,1182
1978,1162
1979,1146
1980,1090
1981,1103
1982,1164
1983,1200
1984,1276
1985,1321
1986,1327
1987,1343
1988,1392
1989,1418
1990,1458
1991,1512
1992,1609
1993,1705
1994,1822
1995,1962
1996,2113
1997,2254
1998,2354
1999,2437
2000,2574
2001,2705
2002,2848
2003,3017
2004,3214
2005,3425
2006,3630
2007,3852
2008,4032
2009,4208
2010,4433
