Region:Middle East North Africa

year,income_per_person
1960,1527
1961,1534
1962,1541
1963,1551
1964,1557
1965,1566
1966,1580
1967,1597
1968,1608
1969,1625
1970,1917
1971,2200
1972,2322
1973,2544
1974,2626
1975,2757
1976,3091
1977,3331
1978,3509
1979,3597
1980,3511
1981,3617
1982,3570
1983,3662
1984,3689
1985,3545
1986,3507
1987,3529
1988,3556
1989,3553
1990,3426
1991,3466
1992,3562
1993,3520
1994,3582
1995,3629
1996,3660
1997,3730
1998,3840
1999,3874
2000,3998
2001,4032
2002,4071
2003,4104
2004,4145
2005,4254
2006,4265
2007,4285
2008,4317
2009,4360
2010,4566
