Region:Sub Saharan Africa

year,income_per_person
1960,2883
1961,2815
1962,2713
1963,2700
1964,2979
1965,3427
1966,3151
1967,3299
1968,3251
1969,3140
1970,3187
1971,3091
1972,3274
1973,3143
1974,3294
1975,3073
1976,3158
1977,2915
1978,2845
1979,2676
1980,2673
1981,2745
1982,2569
1983,2422
1984,2328
1985,2287
1986,2220
1987,2198
1988,2259
1989,2212
1990,2339
1991,2279
1992,2185
1993,2278
1994,2032
1995,2039
1996,2109
1997,2131
1998,2064
1999,2102
2000,2126
2001,2181
2002,2222
2003,2316
2004,2416
2005,2524
2006,2652
2007,2798
2008,2934
2009,3116
2010,3338
